,True_lat,True_lon,Predict_lat,Predict_lon,SE
11694,30.700000762939453,121.30000305175781,33.26627731323242,129.1832733154297,68.73172538267681
11695,30.899999618530273,121.0999984741211,33.948646545410156,130.19015502929688,91.92519428237938
11696,31.399999618530273,120.9000015258789,34.616268157958984,131.3211669921875,118.9450729939017
11697,31.899999618530273,120.5,35.24821090698242,132.52915954589844,155.9111982127979
11698,32.60000228881836,119.9000015258789,35.82969665527344,133.76791381835938,202.74991705264256
11699,33.20000076293945,119.20000457763672,36.350303649902344,135.01641845703125,260.0833562839107
11700,30.100000381469727,125.0999984741211,30.025243759155273,125.80533599853516,0.503089575926424
11701,30.399999618530273,123.9000015258789,30.43328857421875,125.46623992919922,2.4542108906061912
11702,30.700000762939453,122.5999984741211,30.90093994140625,125.1991958618164,6.796203613645048
11703,30.700000762939453,121.9000015258789,31.418516159057617,125.07234191894531,10.580007943939563
11704,30.600000381469727,121.5,31.9888858795166,125.12593078613281,15.076376992510632
11705,30.700000762939453,121.30000305175781,32.614105224609375,125.3809585571289,20.31799372700334
11706,30.899999618530273,121.0999984741211,33.288978576660156,125.8607406616211,28.371886638229626
11707,31.399999618530273,120.9000015258789,33.99451446533203,126.5753173828125,38.94071736623664
11708,31.899999618530273,120.5,34.712440490722656,127.52031707763672,57.19467553013601
11709,32.60000228881836,119.9000015258789,35.41650390625,128.67596435546875,84.95020494733762
11710,33.20000076293945,119.20000457763672,36.08091354370117,129.9930877685547,124.79030321643222
11711,33.500003814697266,118.5999984741211,36.684364318847656,131.42588806152344,174.6435955286288
11712,30.399999618530273,123.9000015258789,30.484960556030273,124.29424285888672,0.16264458955265582
11713,30.700000762939453,122.5999984741211,30.929092407226562,123.38533782958984,0.6692408847302431
11714,30.700000762939453,121.9000015258789,31.396902084350586,122.52367401123047,0.874638820769178
11715,30.600000381469727,121.5,31.88045310974121,121.82319641113281,1.7440151095070178
11716,30.700000762939453,121.30000305175781,32.39278793334961,121.31538391113281,2.865764975140337
11717,30.899999618530273,121.0999984741211,32.931312561035156,120.98779296875,4.138822345823428
