,True_lat,True_lon,Predict_lat,Predict_lon,SE
3850,15.90000057220459,117.0999984741211,12.541483879089355,114.20333099365234,19.670316870338866
3851,16.399999618530273,117.5,12.217327117919922,113.07783508300781,37.05029180043857
3852,11.40000057220459,123.0999984741211,11.577568054199219,123.12408447265625,0.03211034598734841
3853,11.799999237060547,122.0999984741211,11.745332717895508,122.03258514404297,0.007532985389843816
3854,12.199999809265137,121.0999984741211,11.919925689697266,120.953125,0.10001332985211775
3855,12.600000381469727,119.70000457763672,12.096628189086914,119.8959732055664,0.2917872671969235
3856,13.199999809265137,118.0,12.244769096374512,118.8206558227539,1.5859416942694224
3857,13.90000057220459,116.9000015258789,12.345686912536621,117.72705078125,3.099901423440315
3858,14.40000057220459,116.4000015258789,12.386321067810059,116.6235580444336,4.104882663406897
3859,14.90000057220459,116.5999984741211,12.365398406982422,115.50508880615234,7.62303531696034
3860,15.300000190734863,116.9000015258789,12.283896446228027,114.35725402832031,15.562446633968648
3861,15.90000057220459,117.0999984741211,12.139213562011719,113.17180633544922,29.574212414358954
3862,16.399999618530273,117.5,11.919998168945312,111.9371109008789,51.016148117403645
3863,16.899999618530273,117.80000305175781,11.620019912719727,110.6303482055664,79.28213630728715
3864,11.799999237060547,122.0999984741211,11.533490180969238,121.9083480834961,0.10775694920539536
3865,12.199999809265137,121.0999984741211,11.763457298278809,120.90229797363281,0.2296548517915653
3866,12.600000381469727,119.70000457763672,12.137557983398438,119.99260711669922,0.2994692173997464
3867,13.199999809265137,118.0,12.569096565246582,119.09964752197266,1.6072635758937395
3868,13.90000057220459,116.9000015258789,13.046304702758789,118.18248748779297,2.37356688001546
3869,14.40000057220459,116.4000015258789,13.564007759094238,117.17750549316406,1.3033964027163165
3870,14.90000057220459,116.5999984741211,14.137091636657715,116.0677261352539,0.865343886660412
3871,15.300000190734863,116.9000015258789,14.716728210449219,114.89629364013672,4.355051494371764
3872,15.90000057220459,117.0999984741211,15.25949764251709,113.6992416381836,11.975391060113907
3873,16.399999618530273,117.5,15.730862617492676,112.50542449951172,25.393528756235355
