,True_lat,True_lon,Predict_lat,Predict_lon,SE
2362,10.5,141.6999969482422,11.189047813415527,141.9736328125,0.5496634753808394
2363,11.699999809265137,139.6999969482422,10.324828147888184,139.60777282714844,1.899602386765764
2364,12.600000381469727,138.1999969482422,11.917932510375977,138.54222106933594,0.58233392983675
2365,13.300000190734863,136.90000915527344,13.309989929199219,137.7560577392578,0.7329189730162398
2366,14.40000057220459,136.1999969482422,13.577719688415527,135.66510009765625,0.9622604926116765
2367,15.40000057220459,135.8000030517578,14.3768892288208,134.02630615234375,4.1927575119516405
2368,16.5,135.5,15.141392707824707,135.18063354492188,1.94780870698105
2369,17.299999237060547,135.40000915527344,17.16676902770996,135.78195190429688,0.16363055221518152
2370,18.0,135.5,18.590219497680664,134.74522399902344,0.9180458670925873
2371,18.299999237060547,135.90000915527344,18.450088500976562,135.9247283935547,0.023137827884056605
2372,18.700000762939453,136.1999969482422,18.95102310180664,135.372314453125,0.7480705273337662
2373,18.60000228881836,136.40000915527344,18.81268310546875,137.2229766845703,0.7225086840480799
2374,18.399999618530273,136.0,19.489337921142578,135.35333251953125,1.6048367678340583
2375,18.299999237060547,135.6999969482422,18.941139221191406,136.47561645507812,1.0126460986357415
2376,18.399999618530273,135.1999969482422,18.153715133666992,135.98106384277344,0.6707215412170626
2377,18.899999618530273,134.0,17.63239097595215,135.38037109375,3.512256027199328
2378,19.599998474121094,133.0,18.719297409057617,133.76065063476562,1.3542237541732902
2379,20.200000762939453,132.40000915527344,20.91426658630371,134.78025817871094,6.175761080001394
2380,21.0,132.10000610351562,20.251676559448242,132.93405151367188,1.2556197178819275
2381,21.80000114440918,132.0,21.67806625366211,133.94760131835938,3.8080190128566755
2382,22.600000381469727,132.3000030517578,22.387388229370117,133.2745361328125,0.9949186532903695
2383,23.399999618530273,132.6999969482422,23.990446090698242,132.89630126953125,0.3871624230523594
2384,23.5,133.1999969482422,24.00487518310547,132.97314453125,0.3063609696109779
2385,24.30000114440918,134.5,24.514137268066406,135.5088653564453,1.0636635868904705
